case,minlp_time,misoc_time,lp_time,lp_gap,misoc_gap
nomination_cold_1636,3.18,0.34,0.16,0.0,0.0
nomination_cold_1640,1.87,1.34,0.36,0.0,0.0
nomination_cold_1642,1.63,0.35,0.27,0.0,0.0
nomination_cold_165,1.45,0.34,0.29,0.0,0.0
nomination_cold_1652,4.83,0.35,0.31,0.0,0.0
nomination_cold_1653,4.12,0.33,0.16,0.0,0.0
nomination_cold_1657,1.98,0.26,0.15,0.0,0.0
nomination_cold_1660,3.84,0.31,0.26,0.0,0.0
nomination_cold_1662,3.84,0.39,0.3,0.0,0.0
nomination_cold_1664,15.1,0.38,0.28,0.0,0.0
nomination_cold_1674,1.99,0.27,0.17,0.0,0.0
nomination_cold_1683,15.11,0.29,0.16,0.0,0.0
nomination_cold_1687,18.54,0.37,0.25,0.0,0.0
nomination_cold_1689,10.82,0.41,0.3,0.0,0.0
nomination_cold_1693,1.79,0.4,0.27,0.0,0.0
nomination_cold_17,1.64,0.25,0.27,0.0,0.0
nomination_cold_170,4.73,0.24,0.16,0.0,0.0
nomination_cold_1703,8.67,0.35,0.27,0.0,0.0
nomination_cold_1705,7.49,0.31,0.28,0.0,0.0
nomination_cold_1707,1.39,0.28,0.16,0.0,0.0
nomination_cold_1708,4.33,0.32,0.16,0.0,0.0
nomination_cold_171,8.02,0.32,0.16,0.0,0.0
nomination_cold_1719,1.43,0.33,0.27,0.0,0.0
nomination_cold_172,9.01,0.32,0.16,0.0,0.0
nomination_cold_1720,1.43,0.28,0.15,0.0,0.0
nomination_cold_1721,1.63,0.36,0.16,0.0,0.0
nomination_cold_1722,1.88,0.29,0.27,0.0,0.0
nomination_cold_1729,9.28,0.27,0.29,0.0,0.0
nomination_cold_1732,3.8,0.36,0.21,0.0,0.0
nomination_cold_1736,8.17,0.37,0.26,0.0,0.0
nomination_cold_1740,1.98,0.38,0.27,0.0,0.0
nomination_cold_1745,41.19,0.33,0.16,0.0,0.0
nomination_cold_1748,5.21,0.31,0.31,0.0,0.0
nomination_cold_176,6.48,0.36,0.27,0.0,0.0
nomination_cold_1760,4.34,0.24,0.16,0.0,0.0
nomination_cold_1761,2.93,0.4,0.16,0.0,0.0
nomination_cold_1764,3.68,0.31,0.16,0.0,0.0
nomination_cold_1765,8.6,0.34,0.16,0.0,0.0
nomination_cold_1768,3.57,0.29,0.28,0.0,0.0
nomination_cold_177,17.12,0.29,0.27,0.0,0.0
nomination_cold_1774,2.93,0.3,0.25,0.0,0.0
nomination_cold_1777,2.37,0.28,0.27,0.0,0.0
nomination_cold_1782,0.29,0.37,0.31,0.0,0.0
nomination_cold_1784,2.13,0.55,0.21,0.0,0.0
nomination_cold_1788,2.19,0.28,0.18,0.0,0.0
nomination_cold_179,47.48,0.4,0.32,0.0,0.0
nomination_cold_1792,1.88,0.41,0.29,0.0,0.0
nomination_cold_1793,13.12,0.35,0.28,0.0,0.0
nomination_cold_1794,8.89,0.33,0.19,0.0,0.0
nomination_cold_1799,1.91,0.4,0.19,0.0,0.0
nomination_cold_180,3.2,0.39,0.19,0.0,0.0
nomination_cold_1802,11.72,0.33,0.26,0.0,0.0
nomination_cold_1811,7.73,0.35,0.26,0.0,0.0
nomination_cold_1816,4.84,0.36,0.33,0.0,0.0
nomination_cold_1819,4.7,0.29,0.3,0.0,0.0
nomination_cold_1827,1.88,0.24,0.16,0.0,0.0
nomination_cold_1828,3.34,0.3,0.15,0.0,0.0
nomination_cold_1830,2.58,0.36,0.19,0.0,0.0
nomination_cold_1834,3.74,0.34,0.3,0.0,0.0
nomination_cold_1835,6.85,0.29,0.15,0.0,0.0
nomination_cold_1851,11.47,0.3,0.24,0.0,0.0
nomination_cold_1855,19.81,0.41,0.32,0.0,0.0
nomination_cold_1856,2.95,0.32,0.26,0.0,0.0
nomination_cold_1860,8.97,0.29,0.16,0.0,0.0
nomination_cold_1861,2.82,0.44,0.26,0.0,0.0
nomination_cold_1862,4.22,0.33,0.32,0.0,0.0
nomination_cold_1865,3.37,0.49,0.29,0.0,0.0
nomination_cold_1868,11.34,0.36,0.15,0.0,0.0
nomination_cold_1871,7.59,0.35,0.28,0.0,0.0
nomination_cold_1874,2.1,0.31,0.29,0.0,0.0
nomination_cold_1878,7.6,0.31,0.16,0.0,0.0
nomination_cold_1879,1.92,0.39,0.29,0.0,0.0
nomination_cold_1881,2.24,0.32,0.29,0.0,0.0
nomination_cold_1882,5.25,0.4,0.28,0.0,0.0
nomination_cold_1888,2.59,0.34,0.19,0.0,0.0
nomination_cold_1890,1.93,0.38,0.27,0.0,0.0
nomination_cold_1893,10.64,0.29,0.15,0.0,0.0
nomination_cold_1894,12.72,0.26,0.27,0.0,0.0
nomination_cold_1904,1.99,0.34,0.28,0.0,0.0
nomination_cold_1906,1.76,0.28,0.29,0.0,0.0
nomination_cold_1910,14.15,0.32,0.27,0.0,0.0
nomination_cold_1911,13.73,0.36,0.29,0.0,0.0
nomination_cold_1914,22.25,0.37,0.16,0.0,0.0
nomination_cold_1916,7.79,0.29,0.15,0.0,0.0
nomination_cold_1930,14.25,0.39,0.27,0.0,0.0
nomination_cold_1935,3.2,0.37,0.16,0.0,0.0
nomination_cold_1937,3.61,0.36,0.15,0.0,0.0
nomination_cold_1948,6.72,0.35,0.19,0.0,0.0
nomination_cold_1949,26.74,0.41,0.31,0.0,0.0
nomination_cold_1951,9.27,0.34,0.26,0.0,0.0
nomination_cold_1955,1.84,0.48,0.33,0.0,0.0
nomination_cold_1956,2.04,0.43,0.29,0.0,0.0
nomination_cold_1963,2.65,0.25,0.26,0.0,0.0
nomination_cold_1965,2.02,0.3,0.31,0.0,0.0
nomination_cold_1967,6.96,0.38,0.28,0.0,0.0
nomination_cold_1971,5.8,0.36,0.19,0.0,0.0
nomination_cold_1972,7.12,0.35,0.19,0.0,0.0
nomination_cold_1974,13.82,0.24,0.17,0.0,0.0
nomination_cold_1984,3.46,0.35,0.16,0.0,0.0
nomination_cold_199,4.82,0.36,0.16,0.0,0.0
nomination_cold_1993,7.28,0.33,0.29,0.0,0.0
nomination_cold_1997,1.61,0.31,0.16,0.0,0.0
nomination_cold_20,10.04,0.35,0.3,0.0,0.0
nomination_cold_2003,5.85,0.43,0.3,0.0,0.0
nomination_cold_2008,1.82,0.41,0.16,0.0,0.0
nomination_cold_2009,8.05,0.35,0.32,0.0,0.0
nomination_cold_2010,6.44,0.36,0.18,0.0,0.0
nomination_cold_2011,13.81,0.32,0.18,0.0,0.0
nomination_cold_2015,8.73,0.3,0.16,0.0,0.0
nomination_cold_2020,0.28,0.29,0.29,0.0,0.0
nomination_cold_2022,10.56,0.31,0.27,0.0,0.0
nomination_cold_2024,14.44,0.25,0.16,0.0,0.0
nomination_cold_2031,8.85,0.29,0.26,0.0,0.0
nomination_cold_2038,0.39,0.4,0.26,0.0,0.0
nomination_cold_204,1.72,0.37,0.32,0.0,0.0
nomination_cold_2047,4.31,0.34,0.18,0.0,0.0
nomination_cold_2048,8.59,0.35,0.17,0.0,0.0
nomination_cold_2049,2.39,0.34,0.3,0.0,0.0
nomination_cold_205,7.83,0.39,0.2,0.0,0.0
nomination_cold_2054,2.19,0.39,0.26,0.0,0.0
nomination_cold_2057,8.66,0.33,0.3,0.0,0.0
nomination_cold_206,8.94,0.33,0.29,0.0,0.0
nomination_cold_2063,4.23,0.34,0.2,0.0,0.0
nomination_cold_2066,1.67,0.26,0.26,0.0,0.0
nomination_cold_2067,4.39,0.38,0.32,0.0,0.0
nomination_cold_2068,4.32,0.38,0.29,0.0,0.0
nomination_cold_2069,12.06,0.29,0.16,0.0,0.0
nomination_cold_207,3.89,0.35,0.2,0.0,0.0
nomination_cold_2070,2.0,0.33,0.27,0.0,0.0
nomination_cold_2071,8.71,0.32,0.29,0.0,0.0
nomination_cold_2073,6.61,0.33,0.33,0.0,0.0
nomination_cold_2075,0.3,0.4,0.27,0.0,0.0
nomination_cold_2077,8.59,0.3,0.16,0.0,0.0
nomination_cold_2085,1.88,0.28,0.16,0.0,0.0
nomination_cold_2086,1.84,0.4,0.16,0.0,0.0
nomination_cold_2087,0.3,0.2,0.27,0.0,0.0
nomination_cold_2089,6.58,0.36,0.26,0.0,0.0
nomination_cold_2090,18.59,0.32,0.28,0.0,0.0
nomination_cold_2091,2.12,0.32,0.24,0.0,0.0
nomination_cold_2096,3.89,0.4,0.19,0.0,0.0
nomination_cold_21,2.21,0.32,0.18,0.0,0.0
nomination_cold_2101,5.74,0.36,0.29,0.0,0.0
nomination_cold_2102,2.86,0.4,0.32,0.0,0.0
nomination_cold_2105,27.04,0.37,0.19,0.0,0.0
nomination_cold_2107,2.13,0.28,0.28,0.0,0.0
nomination_cold_2108,11.16,0.33,0.27,0.0,0.0
nomination_cold_2113,3.12,0.2,0.16,0.0,0.0
nomination_cold_2115,1.77,0.38,0.32,0.0,0.0
nomination_cold_2118,3.6,0.43,0.25,0.0,0.0
nomination_cold_2120,1.21,0.31,0.25,0.0,0.0
nomination_cold_2121,178.83,0.81,0.19,0.0,0.0
nomination_cold_2122,6.23,0.37,0.15,0.0,0.0
nomination_cold_2123,3.96,0.38,0.28,0.0,0.0
nomination_cold_2124,11.38,0.35,0.32,0.0,0.0
nomination_cold_2126,1.59,0.35,0.33,0.0,0.0
nomination_cold_213,6.48,0.31,0.27,0.0,0.0
nomination_cold_2130,10.73,0.31,0.16,0.0,0.0
nomination_cold_2131,17.11,0.45,0.35,0.0,0.0
nomination_cold_2132,1.79,0.33,0.16,0.0,0.0
nomination_cold_2133,7.09,0.38,0.27,0.0,0.0
nomination_cold_2136,5.24,0.35,0.27,0.0,0.0
nomination_cold_2139,1.81,0.36,0.31,0.0,0.0
nomination_cold_214,1.92,0.4,0.27,0.0,0.0
nomination_cold_2141,3.4,0.31,0.16,0.0,0.0
nomination_cold_2142,5.32,0.28,0.3,0.0,0.0
nomination_cold_2147,2.73,0.3,0.17,0.0,0.0
nomination_cold_2149,4.7,0.23,0.16,0.0,0.0
nomination_cold_215,7.47,0.16,0.28,0.0,0.0
nomination_cold_2155,3.78,0.5,0.19,0.0,0.0
nomination_cold_2158,7.53,0.57,0.32,0.0,0.0
nomination_cold_2161,5.18,0.38,0.31,0.0,0.0
nomination_cold_2162,0.37,0.3,0.25,0.0,0.0
nomination_cold_2163,4.54,0.4,0.19,0.0,0.0
nomination_cold_2164,1.58,0.23,0.16,0.0,0.0
nomination_cold_2167,1.79,0.4,0.28,0.0,0.0
nomination_cold_2169,6.58,0.32,0.17,0.0,0.0
nomination_cold_2176,7.8,0.27,0.16,0.0,0.0
nomination_cold_2177,9.09,0.35,0.27,0.0,0.0
nomination_cold_2182,7.74,0.39,0.34,0.0,0.0
nomination_cold_2184,4.77,0.37,0.26,0.0,0.0
nomination_cold_2187,10.14,0.43,0.29,0.0,0.0
nomination_cold_2188,9.82,0.41,0.19,0.0,0.0
nomination_cold_2189,17.68,0.42,0.3,0.0,0.0
nomination_cold_2192,4.68,0.36,0.32,0.0,0.0
nomination_cold_2195,1.62,0.37,0.27,0.0,0.0
nomination_cold_22,26.38,0.23,0.16,0.0,0.0
nomination_cold_2205,6.13,0.37,0.33,0.0,0.0
nomination_cold_2210,8.43,0.3,0.26,0.0,0.0
nomination_cold_2212,6.71,0.34,0.25,0.0,0.0
nomination_cold_2219,7.65,0.32,0.32,0.0,0.0
nomination_cold_2227,5.51,0.33,0.3,0.0,0.0
nomination_cold_2233,1.95,0.37,0.19,0.0,0.0
nomination_cold_2239,1.63,0.46,0.24,0.0,0.0
nomination_cold_2240,1.9,0.39,0.2,0.0,0.0
nomination_cold_2241,9.09,0.25,0.16,0.0,0.0
nomination_cold_2261,2.15,0.25,0.16,0.0,0.0
nomination_cold_2264,3.79,0.16,0.27,0.0,0.0
nomination_cold_2267,5.84,0.3,0.26,0.0,0.0
nomination_cold_2269,3.98,0.36,0.29,0.0,0.0
nomination_cold_227,0.33,0.29,0.25,0.0,0.0
nomination_cold_2277,1.91,0.32,0.26,0.0,0.0
nomination_cold_2278,11.03,0.31,0.29,0.0,0.0
nomination_cold_2288,1.88,0.31,0.3,0.0,0.0
nomination_cold_229,10.21,0.29,0.19,0.0,0.0
nomination_cold_2294,2.02,0.31,0.38,0.0,0.0
nomination_cold_230,1.71,0.38,0.31,0.0,0.0
nomination_cold_2311,6.13,0.31,0.35,0.0,0.0
nomination_cold_2316,20.56,0.32,0.15,0.0,0.0
nomination_cold_2319,1.67,0.3,0.25,0.0,0.0
nomination_cold_2322,9.63,0.5,0.29,0.0,0.0
nomination_cold_2326,0.36,0.3,0.27,0.0,0.0
nomination_cold_2327,1.65,0.38,0.16,0.0,0.0
nomination_cold_2329,6.69,0.41,0.17,0.0,0.0
nomination_cold_2331,1.72,0.35,0.28,0.0,0.0
nomination_cold_2337,8.34,0.31,0.16,0.0,0.0
nomination_cold_2340,1.54,0.35,0.28,0.0,0.0
nomination_cold_2342,1.76,0.3,0.27,0.0,0.0
nomination_cold_2346,8.0,0.35,0.17,0.0,0.0
nomination_cold_2347,5.2,0.4,0.19,0.0,0.0
nomination_cold_2354,3.41,0.36,0.34,0.0,0.0
nomination_cold_236,6.9,0.31,0.27,0.0,0.0
nomination_cold_2361,16.05,0.4,0.27,0.0,0.0
nomination_cold_2362,0.32,0.3,0.32,0.0,0.0
nomination_cold_2363,2.0,0.29,0.16,0.0,0.0
nomination_cold_2367,7.2,0.32,0.15,0.0,0.0
nomination_cold_237,2.04,0.44,0.18,0.0,0.0
nomination_cold_2370,8.28,0.36,0.17,0.0,0.0
nomination_cold_2371,1.72,0.33,0.16,0.0,0.0
nomination_cold_2374,20.15,0.32,0.29,0.0,0.0
nomination_cold_2375,1.97,0.39,0.2,0.0,0.0
nomination_cold_2377,9.61,0.26,0.16,0.0,0.0
nomination_cold_2381,3.39,0.46,0.33,0.0,0.0
nomination_cold_2384,18.51,0.37,0.31,0.0,0.0
nomination_cold_2391,5.77,0.36,0.28,0.0,0.0
nomination_cold_2393,8.88,0.41,0.32,0.0,0.0
nomination_cold_2396,2.06,0.3,0.29,0.0,0.0
nomination_cold_240,7.66,0.37,0.27,0.0,0.0
nomination_cold_2402,5.6,0.29,0.16,0.0,0.0
nomination_cold_2403,1.62,0.63,0.15,0.0,0.0
nomination_cold_2406,5.27,0.3,0.29,0.0,0.0
nomination_cold_2410,4.28,0.46,0.32,0.0,0.0
nomination_cold_2416,14.76,0.3,0.25,0.0,0.0
nomination_cold_2418,2.23,0.4,0.3,0.0,0.0
