minlp_time,lp_time,misoc_time
186.47,3.17,12.62
170.22,2.75,13.47
146.75,2.89,11.73
343.64,2.87,11.92
308.43,2.97,37.97
146.5,2.76,27.76
119.47,2.81,30.14
218.73,2.83,8.12
130.34,3.24,11.63
99.94,3.11,11.44
164.74,3.68,25.63
319.8,3.13,8.19
155.51,3.04,34.47
102.07,2.96,25.32
115.86,2.82,50.12
137.55,3.03,28.54
66.37,3.4,7.08
89.38,3.11,25.1
109.9,2.74,7.07
124.46,3.09,31.29
89.32,3.11,16.1
186.39,3.27,14.76
77.43,2.78,36.4
87.02,3.13,37.36
241.84,2.69,9.81
876.51,3.33,31.96
602.02,3.01,31.46
276.53,3.18,10.53
92.33,3.11,37.47
101.16,3.45,37.73
121.25,3.38,7.34
140.97,2.8,42.06
92.6,3.28,7.59
108.88,3.47,7.82
119.87,2.81,10.35
139.4,2.82,37.11
130.82,2.94,7.64
141.21,2.83,12.53
124.23,3.03,10.68
319.7,2.69,12.44
118.43,3.23,969.64
5.07,3.07,7.71
216.75,2.88,27.5
125.6,3.04,12.68
120.98,3.14,7.34
117.38,3.2,42.31
106.99,2.85,31.46
250.3,3.35,6.57
67.38,2.99,47.9
202.83,2.83,17.94
70.08,2.93,19.22
89.77,2.87,26.18
95.95,3.2,15.93
702.93,3.16,38.68
96.18,3.26,27.05
124.05,3.24,34.6
103.89,3.36,17.49
117.27,3.14,9.67
105.97,3.4,9.05
128.33,2.89,30.8
807.67,3.03,24.27
11.41,3.07,10.43
84.69,3.03,7.94
96.77,3.54,960.79
112.4,2.99,24.24
54.09,3.11,38.23
744.59,3.33,41.75
105.68,3.0,38.49
102.94,3.63,9.85
68.33,2.91,37.01
110.85,2.57,25.59
241.07,2.88,10.58
375.68,2.84,35.07
246.07,2.86,21.46
345.51,3.12,7.42
119.5,3.11,770.23
108.63,2.95,8.17
100.69,3.15,23.09
151.22,3.76,30.67
4.44,3.51,30.5
105.51,3.06,26.7
77.25,3.4,30.86
6.21,3.0,30.67
116.02,2.82,28.28
178.33,3.46,26.87
109.41,3.39,8.62
165.56,2.98,6.51
96.59,3.55,9.8
107.99,2.86,28.25
114.93,3.21,36.42
104.98,3.15,28.14
109.72,3.06,32.93
156.16,2.97,27.02
107.55,3.4,21.9
118.54,2.99,9.74
92.55,3.1,55.96
333.55,2.8,57.19
130.81,3.45,727.62
111.29,3.18,7.54
248.28,3.51,49.5
109.36,3.15,9.59
97.39,3.02,7.86
4.96,3.08,10.81
131.49,3.11,10.04
93.67,2.85,24.16
135.9,2.9,32.33
7.22,2.79,37.7
246.57,3.13,37.49
484.29,3.46,15.58
207.45,3.03,10.12
102.48,3.21,35.06
108.19,3.21,33.24
223.82,3.07,10.46
123.18,3.09,8.53
158.85,3.49,10.79
348.73,3.06,9.5
170.79,2.85,30.72
93.92,3.21,11.99
97.88,3.2,24.33
127.52,2.75,7.97
4.9,2.69,26.19
140.12,3.08,10.25
119.12,3.03,32.62
110.61,3.17,9.5
157.64,3.23,29.28
276.65,2.91,33.68
266.39,3.05,567.91
6.89,3.12,8.89
118.0,2.93,58.14
73.92,3.23,26.43
144.48,3.19,9.7
130.04,3.1,22.72
313.68,3.76,8.06
100.26,3.05,8.52
130.53,2.91,278.72
208.07,3.02,771.91
101.36,2.9,24.86
118.03,2.9,31.98
130.02,3.3,10.38
295.76,3.2,11.65
250.85,2.97,7.48
123.17,2.79,681.83
114.36,3.03,23.28
219.56,3.07,36.51
195.51,3.23,11.77
229.64,2.75,12.6
103.18,3.13,10.65
95.79,2.93,10.54
137.77,2.91,10.88
258.82,3.18,41.8
135.96,3.36,36.04
36.13,3.14,31.77
108.89,3.02,27.32
162.96,3.05,10.26
4.32,3.0,33.4
123.71,2.98,29.53
201.03,2.86,7.17
99.76,3.09,7.14
91.27,3.15,27.04
101.8,3.07,32.01
145.86,3.29,7.83
149.9,3.11,9.7
100.57,3.13,9.35
4.54,2.8,24.01
111.55,2.9,9.02
92.51,2.79,37.82
199.13,3.07,34.11
141.82,2.74,10.25
10.31,2.98,29.79
132.4,2.97,23.98
78.75,2.94,28.69
239.15,2.92,29.73
113.24,2.61,29.12
118.5,2.84,8.07
219.02,3.45,39.67
90.51,2.89,590.29
98.06,3.21,9.03
98.31,3.0,32.07
83.62,2.83,11.49
114.35,3.19,8.63
160.84,3.1,23.24
104.25,2.87,28.6
113.41,3.09,10.81
33.02,3.27,27.44
105.57,2.99,31.95
112.16,2.86,937.77
124.76,2.82,12.35
88.67,3.42,30.79
209.9,2.86,7.94
147.2,2.87,9.3
144.81,3.78,31.6
6.52,2.92,10.04
345.19,2.93,15.99
215.09,2.87,9.16
109.6,3.1,8.28
212.5,3.08,8.39
4.51,3.17,37.03
118.17,2.96,33.68
183.6,2.97,8.02
92.89,3.43,13.09
88.6,2.97,42.85
248.27,3.28,8.76
187.09,3.28,11.77
216.04,3.43,37.15
225.89,2.89,34.82
172.51,2.72,42.88
155.47,2.85,23.4
246.85,3.05,8.96
115.55,3.12,12.77
495.23,2.95,14.22
123.53,2.88,13.67
120.33,2.9,36.72
96.96,3.15,6.68
135.68,3.16,27.3
107.39,3.02,8.3
142.61,3.06,10.06
429.43,3.28,59.26
234.64,2.87,18.55
140.26,2.79,33.84
127.18,3.24,10.93
218.83,3.01,7.58
902.26,2.96,34.49
100.28,3.43,15.95
126.48,2.94,23.52
100.39,2.92,7.55
146.41,3.13,23.08
151.33,2.76,11.63
158.78,2.86,24.75
226.87,3.24,9.43
83.38,3.13,8.16
112.41,3.19,7.86
257.28,3.02,837.63
129.93,3.07,26.97
165.83,3.06,31.26
122.95,2.84,729.79
154.73,3.41,7.67
235.73,2.81,11.73
120.67,2.9,8.19
122.3,3.15,7.32
359.57,2.92,7.7
129.2,3.09,6.89
4.38,3.04,6.76
104.96,3.52,13.78
306.52,2.86,26.91
54.17,2.71,76.54
134.2,2.99,28.85
91.7,3.2,10.16
166.35,3.03,9.0
104.96,3.04,22.75
188.25,2.75,8.5
123.63,3.3,11.01
143.13,2.94,9.98
268.19,2.72,32.48
313.56,3.03,9.33
403.65,3.21,29.15
291.47,3.01,33.79
208.1,2.99,19.31
102.5,3.28,8.67
142.01,3.01,6.14
126.03,2.87,43.52
392.39,2.86,683.54
105.56,2.74,24.38
226.88,2.9,32.73
113.69,3.12,10.57
347.31,2.88,11.41
104.43,3.27,11.11
604.68,2.83,7.32
817.37,2.66,7.37
427.34,3.27,7.76
113.15,3.13,13.11
545.96,3.66,10.32
95.65,2.99,35.54
233.45,2.71,21.89
72.58,3.3,7.55
139.9,3.14,7.12
506.69,2.74,43.76
287.75,2.48,14.86
238.15,2.65,10.14
308.8,2.79,11.09
160.95,2.67,10.26
261.74,2.67,27.31
182.32,2.7,9.77
272.37,2.84,25.23
164.59,2.75,12.0
277.19,2.93,8.66
132.44,2.64,49.06
176.66,2.62,10.34
243.74,2.67,7.69
242.87,2.62,7.06
104.47,2.91,24.82
297.38,2.93,8.98
613.69,2.69,10.84
196.93,2.94,13.11
301.75,2.64,8.49
296.44,3.06,11.4
292.38,2.8,807.48
245.01,2.66,34.38
141.66,2.76,12.41
234.64,2.62,13.71
302.67,2.48,8.91
677.63,3.09,7.78
420.57,2.74,13.25
223.31,2.79,49.52
209.11,2.71,33.78
360.18,3.15,10.96
258.11,3.15,27.71
139.41,2.56,29.24
