case,minlp_time,misoc_time,lp_time
nomination_cool_1297,1000.0,14.38,2.81
nomination_cool_1331,1000.01,9.84,2.77
nomination_cool_1344,1000.0,14.39,3.34
nomination_cool_1371,1000.0,15.97,2.99
nomination_cool_1423,1000.0,19.37,3.12
nomination_cool_1429,1000.0,29.34,2.58
nomination_cool_1433,1000.01,28.18,2.67
nomination_cool_1528,1000.0,13.49,2.89
nomination_cool_1541,1000.0,7.89,3.01
nomination_cool_1551,1000.02,12.3,3.18
nomination_cool_1607,1000.01,1001.26,2.88
nomination_cool_1739,1000.01,10.73,2.78
nomination_cool_1813,1000.0,7.73,2.85
nomination_cool_1830,1000.0,32.64,2.72
nomination_cool_1861,1000.0,10.47,2.89
nomination_cool_1878,1000.0,36.07,2.8
nomination_cool_1925,1000.0,31.67,2.66
nomination_cool_1959,1000.0,35.64,2.94
nomination_cool_2004,1000.0,11.86,3.17
nomination_cool_2037,1000.0,6.67,2.7
nomination_cool_2054,1000.0,1010.64,2.75
nomination_cool_2086,1000.0,10.91,2.99
nomination_cool_2170,1000.0,39.12,2.82
nomination_cool_2201,1000.0,38.07,2.55
nomination_cool_2205,1000.0,10.59,2.62
nomination_cool_2255,1000.0,9.43,3.06
nomination_cool_2311,1000.01,10.27,2.93
nomination_cool_2358,1000.0,7.63,2.75
nomination_cool_2382,1000.0,7.14,2.76
nomination_cool_2396,1000.0,36.05,2.69
nomination_cool_2472,1000.04,9.78,3.16
nomination_cool_2495,1000.0,13.68,2.84
nomination_cool_2509,1000.01,17.09,2.7
nomination_cool_2516,1000.0,672.34,2.62
nomination_cool_2552,1000.0,1000.88,2.53
nomination_cool_2563,1000.0,12.17,2.96
nomination_cool_2606,1000.0,17.21,2.78
nomination_cool_2695,1000.0,46.72,3.05
nomination_cool_2730,1000.0,844.6,2.59
nomination_cool_2743,1000.0,14.49,3.2
nomination_cool_2779,1000.01,10.36,2.88
nomination_cool_2805,1000.0,13.84,2.66
nomination_cool_2810,1000.0,25.76,2.85
nomination_cool_2812,1000.0,31.42,2.87
nomination_cool_2829,1000.0,26.05,3.26
nomination_cool_2846,1000.0,20.15,2.71
nomination_cool_2853,1000.0,12.99,2.9
nomination_hot_0009,1000.0,7.82,3.15
nomination_hot_0016,1000.0,1001.16,3.61
nomination_hot_0061,1000.0,10.03,2.87
nomination_hot_0087,1000.0,33.46,3.06
nomination_hot_0122,1000.0,1000.6,3.08
nomination_hot_0194,1000.0,31.19,2.81
nomination_hot_0196,1000.0,38.24,3.0
nomination_hot_0201,1000.0,25.03,2.73
nomination_hot_0209,1000.0,60.79,2.86
nomination_hot_0225,1000.0,14.18,2.83
nomination_hot_0238,1000.0,52.96,3.16
nomination_hot_0248,1000.0,52.26,2.85
nomination_hot_0277,1000.02,1000.26,3.13
nomination_hot_0306,1000.0,414.92,2.69
nomination_hot_0310,1000.0,8.63,2.99
nomination_hot_0380,1000.0,7.59,2.86
nomination_hot_0385,1000.0,27.85,2.65
nomination_hot_0415,1000.0,21.21,2.73
